ID,confidence_score,ligand_iptm,affinity_pred_value,affinity_pred_value1,affinity_pred_value2,affinity_probability_binary,affinity_probability_binary1,affinity_probability_binary2,SMILES
Z102767654,0.7851492166519165,0.9353257417678833,2.037855386734009,2.499289035797119,1.5764217376708984,0.11741837114095688,0.06814524531364441,0.16669149696826935,CNCC=1C=CC(=CC1)N2CCCCC2
Z104378302,0.7286985516548157,0.8534613847732544,3.051652431488037,2.7376937866210938,3.3656113147735596,0.20141026377677917,0.022943586111068726,0.3798769414424896,NC1=NC=2C=CC=CC2N1
Z104472798,0.7899560332298279,0.891683042049408,2.148874282836914,1.920432448387146,2.3773159980773926,0.15087652206420898,0.1474049836397171,0.15434806048870087,NC1=NC=CS1
Z104473324,0.7345882058143616,0.8615217804908752,2.5426242351531982,2.55623722076416,2.5290112495422363,0.13315021991729736,0.0646551325917244,0.20164531469345093,O=C(O)C=1C=CC(Cl)=CC1
Z104473344,0.751538097858429,0.8330252170562744,2.995333671569824,2.8907017707824707,3.099965810775757,0.13999995589256287,0.05795763432979584,0.2220422774553299,O=C(O)CC1=CC=CS1
Z104473462,0.7844573259353638,0.9171099066734314,1.6215529441833496,2.0987191200256348,1.144386887550354,0.3121544420719147,0.24869465827941895,0.3756142258644104,O=C(O)C1=CC=CO1
Z104473570,0.7102369666099548,0.6514546871185303,1.5324493646621704,1.2377194166183472,1.8271793127059937,0.14389175176620483,0.05910106003284454,0.22868244349956512,OCCOC=1C=CC=CC1
Z104473586,0.7632955312728882,0.8868288397789001,2.8350257873535156,2.7994375228881836,2.8706140518188477,0.1173611730337143,0.034268200397491455,0.20045414566993713,OCCC=1C=CC=CC1
Z104473678,0.7750030159950256,0.9424068927764893,2.1068742275238037,2.0894570350646973,2.12429141998291,0.27670353651046753,0.2083909660577774,0.34501609206199646,OC=1C=CC=2OCOC2C1
Z104473820,0.7833999991416931,0.888945460319519,2.760587453842163,2.896792411804199,2.624382495880127,0.14239585399627686,0.05870902165770531,0.2260826826095581,CC=1C=CC=C(O)C1
Z104473840,0.8029708862304688,0.9270129203796387,2.481269598007202,2.773983955383301,2.1885552406311035,0.22681793570518494,0.04250302538275719,0.4111328423023224,N#CC=1C=CC(O)=CC1
Z104474062,0.7368952631950378,0.857261598110199,1.6982067823410034,1.608259916305542,1.7881536483764648,0.12147153168916702,0.0497450977563858,0.19319796562194824,O=C(O)C=1C=CC=C(Cl)C1
Z104474214,0.7494615912437439,0.8926753401756287,3.046992778778076,3.174191951751709,2.9197933673858643,0.1779191642999649,0.10217822343111038,0.2536601126194,O=C(O)CC=1C=CC=CC1C(=O)O
Z104474598,0.7928017973899841,0.9048125743865967,2.09281063079834,2.364506244659424,1.8211148977279663,0.363656610250473,0.32448482513427734,0.4028283953666687,COC=1C=CC(O)=CC1
Z104475374,0.7672356367111206,0.8547401428222656,2.515866994857788,2.3896803855895996,2.6420536041259766,0.14359401166439056,0.01598299667239189,0.27120503783226013,CC=1C=CC(N)=NC1
Z104476002,0.7598989009857178,0.8890625834465027,2.806842803955078,3.1156225204467773,2.498063325881958,0.39909982681274414,0.46086832880973816,0.3373313248157501,O=C(O)C=1C=NC=CN1
Z104476062,0.7760514616966248,0.9166473150253296,0.6928223371505737,1.028092861175537,0.35755184292793274,0.28852906823158264,0.16555872559547424,0.41149941086769104,CC(C)(C)C1=CC=C(O)C(O)=C1
Z104476066,0.7735070586204529,0.9294562935829163,2.7605485916137695,2.938602924346924,2.5824942588806152,0.07806067168712616,0.06702407449483871,0.08909726142883301,O=C(O)CC1=CC=C(Cl)C(Cl)=C1
Z104476152,0.7948964238166809,0.9388898611068726,1.9838122129440308,2.4128708839416504,1.5547535419464111,0.42118996381759644,0.52129065990448,0.3210892677307129,CN1CC=2C=CC=CC2NC1=O
Z104476320,0.805345356464386,0.9224288463592529,1.9220352172851562,2.4600062370300293,1.3840643167495728,0.174963116645813,0.05075867846608162,0.29916754364967346,CC(C)C=1C=CC(N)=CC1
Z104476536,0.7729303240776062,0.9054690003395081,2.277031421661377,2.6504549980163574,1.903607726097107,0.28446051478385925,0.2990961968898773,0.2698248326778412,COC=1C=CC=C(C(=O)O)C1OC
Z104476884,0.7673462629318237,0.9093530178070068,3.0515475273132324,3.573639392852783,2.5294556617736816,0.1598571240901947,0.04432003200054169,0.2753942012786865,O=C(O)C1=CC=C2OCOC2=C1
Z104477292,0.7336193919181824,0.8932743668556213,2.9792706966400146,2.735470771789551,3.2230706214904785,0.2426266372203827,0.35060590505599976,0.13464736938476562,O=C(O)C(C=1C=CC=CC1)C=2C=CC=CC2
Z104477464,0.784166157245636,0.9144450426101685,2.080284595489502,2.220026969909668,1.940542459487915,0.10030974447727203,0.028799839317798615,0.17181964218616486,C1=CC=C(C=C1)CC=2C=CN=CC2
Z104477476,0.7468684315681458,0.7386578321456909,2.225799083709717,1.8944002389907837,2.5571978092193604,0.12444870173931122,0.04852669686079025,0.2003706991672516,COC=1C=CC(C)=CC1N
Z104477750,0.7873064279556274,0.9153476357460022,2.3354787826538086,2.323625087738037,2.347332715988159,0.22855238616466522,0.08008956909179688,0.37701520323753357,N#CC=1C=CC=CC1O
Z104477768,0.7432233691215515,0.8128823637962341,2.8551065921783447,2.4845476150512695,3.22566556930542,0.12402505427598953,0.012686588801443577,0.23536351323127747,CC=1N=CSC1CCO
